Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
34.9,-0.17457,-2.03271,,
35.0,-0.15373,-2.01138,,
35.1,-0.13104,-1.98775,,
35.2,-0.10506,-1.96131,,
35.3,-0.07527,-1.93234,,
35.4,-0.04231,-1.90160,,
35.5,-0.01006,-1.87115,,
35.6,0.02012,-1.84275,,
35.7,0.04500,-1.81786,,
35.8,0.06456,-1.79645,,
35.9,0.08180,-1.77749,,
36.0,0.09849,-1.75926,,
36.1,0.11629,-1.73991,,
36.2,0.13732,-1.71831,,
36.3,0.16250,-1.69378,,
36.4,0.19004,-1.66651,,
36.5,0.22011,-1.63702,,
36.6,0.25199,-1.60651,,
36.7,0.28384,-1.57636,,
36.8,0.31333,-1.54804,,
36.9,0.33875,-1.52279,,
37.0,0.36012,-1.50069,,
37.1,0.37775,-1.48146,,
37.2,0.39470,-1.46388,,
37.3,0.41069,-1.44693,,
37.4,0.42695,-1.42938,,
37.5,0.44546,-1.41027,,
37.6,0.46643,-1.38898,,
37.7,0.49049,-1.36535,,
37.8,0.51706,-1.33976,,
37.9,0.54436,-1.31325,,
38.0,0.57203,-1.28685,,
38.1,0.59787,-1.26212,,
38.2,0.62084,-1.24009,,
38.3,0.63925,-1.22124,,
38.4,0.65321,-1.20537,,
38.5,0.66637,-1.19096,,
38.6,0.67877,-1.17685,,
38.7,0.69380,-1.16122,,
38.8,0.71109,-1.14340,,
38.9,0.73162,-1.12296,,
39.0,0.75566,-1.10054,,
39.1,0.78049,-1.07716,,
39.2,0.80391,-1.05455,,
39.3,0.82618,-1.03388,,
39.4,0.84355,-1.01645,,
39.5,0.85700,-1.00237,,
39.6,0.86735,-0.99124,,
39.7,0.87460,-0.98176,,
39.8,0.88225,-0.97234,,
39.9,0.89283,-0.96180,,
40.0,0.90550,-0.94958,,
40.1,0.91966,-0.93606,,
40.2,0.93487,-0.92207,,
40.3,0.94887,-0.90866,,
40.4,0.96116,-0.89677,,
40.5,0.97162,-0.88693,,
40.6,0.97832,-0.87936,,
40.7,0.98314,-0.87348,,
40.8,0.98723,-0.86864,,
40.9,0.99124,-0.86397,,
41.0,0.99621,-0.85921,,
41.1,1.00196,-0.85446,,
41.2,1.00634,-0.85053,,
41.3,1.00963,-0.84813,,
41.4,1.01009,-0.84752,,
41.5,1.00697,-0.85054,,
41.6,1.00145,-0.85542,,
41.7,0.99434,-0.86260,,
41.8,0.98552,-0.87208,,
41.9,0.97374,-0.88424,,
42.0,0.95853,-0.89932,,
42.1,0.93990,-0.91711,,
42.2,0.91874,-0.93699,,
42.3,0.89704,-0.95804,,
42.4,0.87524,-0.97934,,
42.5,0.85360,-1.00082,,
42.6,0.83354,-1.02222,,
42.7,0.81111,-1.04407,,
42.8,0.78832,-1.06615,,
42.9,0.76626,-1.08881,,
43.0,0.74350,-1.11227,,
43.1,0.71930,-1.13673,,
43.2,0.69274,-1.16263,,
43.3,0.66544,-1.18981,,
43.4,0.63703,-1.21828,,
43.5,0.60737,-1.24722,,
43.6,0.57649,-1.27556,,
43.7,0.54845,-1.30127,,
43.8,0.52587,-1.32256,,
43.9,0.51044,-1.33789,,
44.0,0.50189,-1.34710,,
44.1,0.49957,-1.35193,,
44.2,0.50138,-1.35159,,
44.3,0.50391,-1.35077,,
44.4,0.50528,-1.34964,,
44.5,0.50392,-1.35088,,
44.6,0.50114,-1.35229,,
44.7,0.49841,-1.35349,,
44.8,0.49786,-1.35381,,
44.9,0.50043,-1.35126,,
45.0,0.50513,-1.34749,,
45.1,0.51057,-1.34300,,
45.2,0.51599,-1.33903,,
45.3,0.51899,-1.33622,,
45.4,0.51845,-1.33732,,
45.5,0.51468,-1.34048,,
45.6,0.50810,-1.34590,,
45.7,0.50044,-1.35273,,
45.8,0.49270,-1.36041,,
45.9,0.48478,-1.36870,,
46.0,0.47596,-1.37774,,
46.1,0.46593,-1.38813,,
46.2,0.45462,-1.40028,,
46.3,0.44007,-1.41475,,
46.4,0.42283,-1.43111,,
46.5,0.40334,-1.44800,,
46.6,0.38467,-1.46303,,
46.7,0.37235,-1.47381,,
46.8,0.36823,-1.48041,,
46.9,0.37009,-1.47962,,
47.0,0.37497,-1.47678,,
47.1,0.37976,-1.47220,,
